album,track_number,name,uri,available_markets,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,time_signature,album_uris,album_release_date,album_release_date_precision,album_total_trakcs
答案之書,1,優秀,spotify:track:1ZBUhpscaXX1Q35RmMBR4v,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",217815,0.0443,0.581,0.849,8.28e-05,0.0642,-5.835,0.0353,128.136,0.402,18,9,1,4,spotify:album:0zPpdDiDX6JnGZRHXFYuZt,2018-10-19,day,10
答案之書,2,亞亞亞,spotify:track:2FKxsi0BDOZCYBSheFCb0f,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",183077,0.00637,0.524,0.829,8.72e-05,0.0627,-5.081,0.076,171.975,0.391,15,10,0,4,spotify:album:0zPpdDiDX6JnGZRHXFYuZt,2018-10-19,day,10
答案之書,3,綁夢,spotify:track:1fMPS7ewHOKFaMI0iDhntr,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",200887,0.229,0.411,0.606,0.0,0.227,-7.09,0.233,74.411,0.51,15,1,1,5,spotify:album:0zPpdDiDX6JnGZRHXFYuZt,2018-10-19,day,10
答案之書,4,孤單喧嘩,spotify:track:0iyG2K02EtnTYkJAurcyT5,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",260706,0.307,0.528,0.451,0.0,0.101,-8.345,0.0395,73.059,0.427,18,0,1,4,spotify:album:0zPpdDiDX6JnGZRHXFYuZt,2018-10-19,day,10
答案之書,5,容光,spotify:track:5t0f2DIs0qMSjADpWxqDSB,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",272364,0.861,0.393,0.299,0.0,0.0986,-11.124,0.0368,118.469,0.269,19,2,1,4,spotify:album:0zPpdDiDX6JnGZRHXFYuZt,2018-10-19,day,10
答案之書,6,幸福不急,spotify:track:1GVGcCr08Y6rb0rtCj1TqV,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",208995,0.551,0.738,0.266,0.0012,0.144,-12.092,0.0499,112.972,0.279,15,2,1,3,spotify:album:0zPpdDiDX6JnGZRHXFYuZt,2018-10-19,day,10
答案之書,7,單人遊,spotify:track:4AbpudxAWss46wSVWc2WY4,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",247987,0.65,0.536,0.385,0.0,0.331,-10.375,0.0879,62.045,0.392,14,0,1,4,spotify:album:0zPpdDiDX6JnGZRHXFYuZt,2018-10-19,day,10
答案之書,8,答案之書,spotify:track:6V5FKe083pHlNp6qKrAZxh,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",243424,0.761,0.373,0.335,0.000158,0.0915,-10.799,0.0437,141.052,0.278,27,5,0,4,spotify:album:0zPpdDiDX6JnGZRHXFYuZt,2018-10-19,day,10
答案之書,9,長大,spotify:track:6qvZoIIZ60HSNXdC8lawFF,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",218934,0.668,0.397,0.343,1.17e-06,0.12,-10.974,0.0337,142.092,0.464,26,10,1,4,spotify:album:0zPpdDiDX6JnGZRHXFYuZt,2018-10-19,day,10
答案之書,10,剛好,spotify:track:2RWMZ6ZBOG7FLaZXDAlP6w,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",298184,0.596,0.485,0.466,0.0,0.116,-9.926,0.0553,141.906,0.182,16,4,1,4,spotify:album:0zPpdDiDX6JnGZRHXFYuZt,2018-10-19,day,10
